g,FSV,pval,qval
Gm609,0.99995455,5.12E-06,9.03E-05
Olfr1202,0.99995455,5.22E-06,9.03E-05
Gm5464,0.99995455,5.12E-06,9.03E-05
B430212C06Rik,0.99995455,5.05E-06,9.03E-05
Syce1,0.99995455,5.05E-06,9.03E-05
Pdpr,0.99995455,5.10E-06,9.03E-05
Fgr,0.99995455,5.12E-06,9.03E-05
1700122O11Rik,0.99995455,5.12E-06,9.03E-05
Prr15l,0.99995455,5.06E-06,9.03E-05
Dock8,0.99995455,5.29E-06,9.14E-05
Mfap4,0.99995455,5.40E-06,9.31E-05
Shmt1,0.99995455,5.51E-06,9.49E-05
Ap5b1,0.99995455,5.51E-06,9.49E-05
A530016L24Rik,0.99995455,5.53E-06,9.51E-05
Zfp809,0.99995455,5.54E-06,9.52E-05
Sgol2,0.99995455,5.62E-06,9.64E-05
St6galnac3,0.99995455,5.62E-06,9.64E-05
Wbscr25,0.99995455,5.68E-06,9.67E-05
Pde3a,0.99995455,5.68E-06,9.67E-05
Cyp4f17,0.99995455,5.68E-06,9.67E-05
1700012I11Rik,0.99995455,5.68E-06,9.67E-05
Gm10649,0.99995455,5.68E-06,9.67E-05
Drd4,0.99995455,5.68E-06,9.67E-05
Uprt,0.99995455,5.73E-06,9.74E-05
Il12a,0.99995455,5.74E-06,9.76E-05
5830403L16Rik,0.99995455,5.80E-06,9.85E-05
Xkr4,0.99995455,5.84E-06,9.91E-05
Grin2d,0.99995455,5.88E-06,9.96E-05
Col6a4,0.99995455,5.89E-06,9.96E-05
Lgals7,0.99995455,5.94E-06,0.000100327
9330159M07Rik,0.99995455,5.94E-06,0.000100327
Gab3,0.99995455,6.02E-06,0.000101583
Pgr15l,0.99995455,6.07E-06,0.00010235
Fezf1,0.99995455,6.08E-06,0.000102424
Enpp3,0.99995455,6.19E-06,0.000104027
Gm5134,0.99995455,6.22E-06,0.000104027
Gpr52,0.99995455,6.22E-06,0.000104027
Ccna1,0.99995455,6.22E-06,0.000104027
Hist1h3d,0.99995455,6.22E-06,0.000104027
Dpy19l2,0.99995455,6.22E-06,0.000104027
Def6,0.99995455,6.28E-06,0.000104968
4930581F22Rik,0.99995455,6.31E-06,0.000105337
Hist1h3e,0.99995455,6.36E-06,0.00010617
Msi1,0.99995455,6.44E-06,0.000107306
Plaur,0.99995455,6.69E-06,0.000111343
4933417D19Rik,0.96361501,6.75E-06,0.000112169
Ear1,0.99995455,6.75E-06,0.000112169
Nlrp1c-ps,0.99995455,6.79E-06,0.000112327
BB014433,0.99995455,6.79E-06,0.000112327
Olfr723,0.99995455,6.79E-06,0.000112327
Gm15545,0.99995455,6.79E-06,0.000112327
Olfr691,0.99995455,6.79E-06,0.000112327
4933433G19Rik,0.99995455,6.87E-06,0.0001125
Pmfbp1,0.99995455,6.87E-06,0.0001125
Ucn2,0.99995455,6.87E-06,0.0001125
Sftpd,0.99995455,6.87E-06,0.0001125
Spns3,0.99995455,6.87E-06,0.0001125
Ctsw,0.99995455,6.87E-06,0.0001125
